client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,age_group,client_ref,total_properties_bought,total_investment_value,avg_property_value,max_property_value,avg_floor_area,latest_purchase_date,Apartment,Office,purchase_recency_days,multi_property_buyer_flag,cluster,hierarchical_cluster,buyer_segment
C0001,Individual,Kareem,Liu,1968-05-11,F,USA,California,Personal Use,4,Yes,Website,58.0,46-60,C0001,4,1246764.72,311691.18,496266.41,983.885,2025-12-01,4,0,120,1,1,0,Global Investors
C0002,Individual,Trystan,Oconnor,,M,USA,California,Personal Use,1,No,Website,56.0,46-60,C0002,5,1841095.9300000002,368219.18600000005,505127.63,1187.942,2025-12-01,5,0,120,1,0,2,First-Time Buyers
C0003,Individual,Kale,Gay,1959-04-07,M,USA,California,Personal Use,4,Yes,Agency,67.0,60+,C0003,5,1661457.5899999999,332291.518,584611.99,1058.1100000000001,2025-10-01,5,0,181,1,0,0,First-Time Buyers
C0004,Individual,Russell,Gross,,M,USA,California,Personal Use,5,No,Website,56.0,46-60,C0004,6,1608263.51,268043.91833333333,606634.75,937.1033333333334,2025-08-01,6,0,242,1,0,2,First-Time Buyers
C0005,Corporate,Marleez,Co,,M,USA,California,Investment,5,No,Website,56.0,46-60,C0005,13,3653385.38,281029.64461538463,628812.33,927.2961538461539,2025-05-01,13,0,334,1,0,2,First-Time Buyers
C0006,Individual,Yurem,Wright,1957-03-06,M,USA,California,Personal Use,3,Yes,Website,69.0,60+,C0006,5,1514131.06,302826.212,435031.4,989.5899999999999,2025-11-01,5,0,150,1,1,0,Global Investors
C0007,Individual,Xavier,Faulkner,,M,Canada,Quebec,Investment,5,No,Website,56.0,46-60,C0007,11,3251147.83,295558.8936363636,484458.03,995.6936363636363,2025-12-01,11,0,120,1,0,2,First-Time Buyers
C0008,Individual,Kayden,Olsen,,F,USA,California,Personal Use,5,No,Website,56.0,46-60,C0008,5,1476730.4100000001,295346.08200000005,537291.01,1031.106,2025-03-01,4,1,395,1,1,0,Global Investors
C0009,Individual,Joaquin,Mullins,1975-10-05,M,USA,California,Investment,5,No,Agency,51.0,46-60,C0009,5,1820832.35,364166.47000000003,580903.05,1305.644,2025-05-01,4,1,334,1,0,0,First-Time Buyers
C0010,Individual,Nicolas,Navarro,,M,USA,Oregon,Investment,3,No,Agency,56.0,46-60,C0010,5,1732434.0,346486.8,480540.62,1140.206,2025-09-01,4,1,211,1,0,0,First-Time Buyers
C0011,Individual,Laci,Guerra,,F,USA,California,Personal Use,2,Yes,Website,56.0,46-60,C0011,5,1325211.52,265042.304,473195.39,935.914,2025-09-01,4,1,211,1,1,0,Global Investors
C0012,Corporate,Kylax,Co,,M,USA,California,Investment,5,No,Website,56.0,46-60,C0012,4,1599526.4,399881.6,529317.28,1317.445,2025-03-01,4,0,395,1,3,0,Luxury Investors
C0013,Individual,Harley,Lucero,1962-08-10,M,USA,California,Personal Use,1,Yes,Website,64.0,60+,C0013,5,2142750.89,428550.178,562818.96,1407.376,2025-10-01,5,0,181,1,0,1,First-Time Buyers
C0014,Corporate,Esther,Co,1980-07-10,M,USA,California,Personal Use,3,Yes,Website,46.0,46-60,C0014,4,1548140.0699999998,387035.01749999996,531267.61,1280.5425,2025-08-01,4,0,242,1,3,0,Luxury Investors
C0015,Individual,Jaylynn,Hickman,,F,USA,California,Personal Use,5,No,Client,56.0,46-60,C0015,5,1585907.37,317181.47400000005,426442.43,1030.764,2025-06-01,5,0,303,1,1,0,Global Investors
C0016,Individual,Olivia,Oconnell,1939-09-03,F,USA,California,Investment,5,No,Website,87.0,60+,C0016,4,1010217.73,252554.4325,287917.8,842.145,2025-10-01,4,0,181,1,1,0,Global Investors
